Period,P_NR,Q_NR,P_RSS3, Q_RSS3 ,P_STR,Q_STR,P_Latex,Q_Latex,P_Mix,Q_Mix, P_Stock ,Q_Stock,
1, 18.00 ," 2,364,106.00 ", 19.85 ," 1,141,900.00 ", 22.65 ," 624,800.00 ", 19.88 ," 300,640.00 ", 27.79 ," 9,700.00 ", 19.85 ," 78,970.000 ",
2, 22.31 ," 2,597,337.00 ", 23.43 ," 1,055,900.00 ", 25.70 ," 868,200.00 ", 22.98 ," 350,975.00 ", 32.80 ," 5,790.00 ", 23.43 ," 61,712.00 ",
3, 20.68 ," 2,508,184.00 ", 22.55 ," 951,015.00 ", 23.94 ," 869,830.00 ", 20.84 ," 440,714.00 ", 31.57 ," 6,984.00 ", 22.55 ," 52,200.00 ",
4, 26.63 ," 2,829,451.00 ", 29.15 ," 1,111,420.00 ", 32.39 ," 940,400.00 ", 25.73 ," 470,800.00 ", 40.81 ," 37,100.00 ", 29.15 ," 85,500.00 ",
5, 38.09 ," 3,074,389.00 ", 40.17 ," 1,225,170.00 ", 41.97 ," 1,029,600.00 ", 35.60 ," 494,675.00 ", 56.24 ," 86,544.00 ", 40.17 ," 89,460.00 ",
6, 43.90 ," 3,188,305.00 ", 46.66 ," 1,104,180.00 ", 49.26 ," 1,134,030.00 ", 39.96 ," 590,890.00 ", 65.32 ," 36,715.00 ", 46.66 ," 68,649.00 ",
7, 52.46 ," 3,171,303.00 ", 55.19 ," 1,005,700.00 ", 56.51 ," 1,240,265.00 ", 44.85 ," 585,300.00 ", 77.27 ," 138,163.00 ", 55.19 ," 69,178.00 ",
8, 68.52 ," 3,342,453.00 ", 72.12 ," 1,028,930.00 ", 75.63 ," 1,192,055.00 ", 57.12 ," 697,980.00 ", 100.97 ," 151,437.00 ", 72.12 ," 79,865.00 ",
9, 68.08 ," 3,307,811.00 ", 72.14 ," 957,337.00 ", 75.12 ," 1,218,326.00 ", 53.10 ," 663,926.00 ", 101.00 ," 154,485.00 ", 72.14 ," 64,979.00 ",
10, 75.26 ," 3,324,599.00 ", 79.94 ," 973,273.00 ", 85.08 ," 1,282,036.00 ", 58.01 ," 587,047.00 ", 111.92 ," 487,160.00 ", 79.94 ," 92,910.00 ",
11, 56.10 ," 3,419,267.00 ", 59.46 ," 837,294.00 ", 63.67 ," 1,058,892.00 ", 45.35 ," 703,817.00 ", 83.24 ," 520,355.00 ", 59.46 ," 77,216.00 ",
12, 101.89 ," 3,552,336.00 ", 102.31 ," 813,033.00 ", 108.87 ," 1,235,802.00 ", 74.94 ," 552,841.00 ", 143.23 ," 428,276.00 ", 102.31 ," 130,104.00 ",
13, 122.33 ," 3,800,683.00 ", 127.76 ," 892,249.00 ", 141.25 ," 1,455,094.00 ", 93.79 ," 713,804.00 ", 178.86 ," 693,210.00 ", 127.76 ," 79,610.00 ",
14, 90.14 ," 4,143,059.00 ", 90.57 ," 771,993.00 ", 99.89 ," 1,505,651.00 ", 68.71 ," 757,364.00 ", 126.80 ," 804,784.00 ", 90.57 ," 49,792.00 ",
15, 73.73 ," 4,688,424.00 ", 75.45 ," 912,676.00 ", 77.57 ," 1,579,788.00 ", 56.07 ," 775,662.00 ", 105.63 ," 858,818.00 ", 75.45 ," 97,518.00 ",
16, 53.65 ," 4,828,408.00 ", 55.94 ," 824,030.00 ", 56.38 ," 1,793,945.00 ", 45.07 ," 776,597.00 ", 78.32 ," 511,349.00 ", 55.94 ," 70,585.00 ",
17, 45.05 ," 4,992,842.00 ", 45.76 ," 884,081.00 ", 47.56 ," 1,887,984.00 ", 35.68 ," 964,403.00 ", 64.06 ," 616,178.00 ", 45.76 ," 225,553.00 ",
18, 50.02 ," 5,182,513.00 ", 52.78 ," 856,526.00 ", 49.03 ," 1,952,793.00 ", 36.99 ," 860,767.00 ", 73.89 ," 1,182,475.00 ", 52.78 ," 250,701.00 ",
19, 57.13 ," 5,804,912.00 ", 60.65 ," 879,724.00 ", 59.51 ," 1,702,256.00 ", 45.62 ," 796,663.00 ", 84.91 ," 1,517,927.00 ", 60.65 ," 570,592.00 ",
20, 42.74 ," 5,800,432.00 ", 43.58 ," 740,305.00 ", 44.87 ," 1,754,379.00 ", 35.31 ," 971,207.00 ", 61.01 ," 1,235,931.00 ", 43.58 ," 99,217.00 ",
21, 43.69 ," 4,848,620.00 ", 44.73 ," 612,202.00 ", 45.51 ," 1,676,073.00 ", 35.69 ," 1,038,506.00 ", 62.62 ," 1,119,798.00 ", 44.73 ," 173,789.00 ",
22, 44.84 ," 4,859,666.00 ", 44.49 ," 535,948.00 ", 43.31 ," 1,630,921.00 ", 37.00 ," 964,543.00 ", 62.29 ," 1,252,423.00 ", 44.49 ," 167,557.00 ",
,,,,,,,,,,,,,
